@relation 'job_change_data_scientist-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,14,13-weka.filters.unsupervised.attribute.NumericToBinary-R13-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,14,13-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Remove-R9-10'

@attribute city {city_103,city_40,city_21,city_115,city_162,city_176,city_160,city_46,city_61,city_114,city_13,city_159,city_102,city_67,city_100,city_16,city_71,city_104,city_64,city_101,city_83,city_105,city_73,city_75,city_41,city_11,city_93,city_90,city_36,city_20,city_57,city_152,city_19,city_65,city_74,city_173,city_136,city_98,city_97,city_50,city_138,city_82,city_157,city_89,city_150,city_70,city_175,city_94,city_28,city_59,city_165,city_145,city_142,city_26,city_12,city_37,city_43,city_116,city_23,city_99,city_149,city_10,city_45,city_80,city_128,city_158,city_123,city_7,city_72,city_106,city_143,city_78,city_109,city_24,city_134,city_48,city_144,city_91,city_146,city_133,city_126,city_118,city_9,city_167,city_27,city_84,city_54,city_39,city_79,city_76,city_77,city_81,city_131,city_44,city_117,city_155,city_33,city_141,city_127,city_62,city_53,city_25,city_2,city_69,city_120,city_111,city_30,city_1,city_140,city_179,city_55,city_14,city_42,city_107,city_18,city_139,city_180,city_166,city_121,city_129,city_8,city_31,city_171}
@attribute city_development_index numeric
@attribute gender {Male,Female,Other}
@attribute relevent_experience {'Has relevent experience','No relevent experience'}
@attribute enrolled_university {no_enrollment,'Full time course','Part time course'}
@attribute education_level {Graduate,Masters,'High School',Phd,'Primary School'}
@attribute major_discipline {STEM,'Business Degree',Arts,Humanities,'No Major',Other}
@attribute experience {>20,15,5,<1,11,13,7,17,2,16,1,4,10,14,18,19,12,3,6,9,8,20}
@attribute training_hours numeric
@attribute target_binarized {0,1}

@data
city_16,0.91,Male,'Has relevent experience',no_enrollment,Graduate,'Business Degree',12,145,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,10,206,0
city_114,0.926,Male,'No relevent experience','Part time course','High School',STEM,1,152,0
city_103,0.92,Male,'No relevent experience',no_enrollment,Graduate,STEM,12,50,0
city_71,0.884,Male,'No relevent experience',no_enrollment,Graduate,STEM,3,106,0
city_114,0.926,Female,'Has relevent experience','Full time course',Masters,STEM,16,14,0
city_104,0.924,Male,'Has relevent experience',no_enrollment,'High School',STEM,4,36,0
city_64,0.666,Male,'No relevent experience',no_enrollment,Graduate,'No Major',9,108,0
city_83,0.923,Male,'Has relevent experience',no_enrollment,Graduate,STEM,11,21,0
city_64,0.666,Male,'Has relevent experience',no_enrollment,Graduate,STEM,10,102,0
city_105,0.794,Male,'No relevent experience',no_enrollment,Graduate,Humanities,5,26,0
city_104,0.924,Male,'Has relevent experience',no_enrollment,Masters,STEM,3,7,0
city_114,0.926,Male,'No relevent experience','Full time course','High School',STEM,4,43,0
city_104,0.924,Male,'Has relevent experience',no_enrollment,Graduate,STEM,>20,45,0
city_73,0.754,Male,'Has relevent experience','Full time course',Graduate,STEM,2,52,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,>20,19,0
city_67,0.855,Male,'Has relevent experience','Part time course',Graduate,STEM,6,90,0
city_75,0.939,Male,'Has relevent experience',no_enrollment,Graduate,STEM,6,25,0
city_41,0.827,Male,'Has relevent experience',no_enrollment,Masters,STEM,13,15,0
city_100,0.887,Male,'Has relevent experience',no_enrollment,Masters,Humanities,>20,48,0
city_11,0.55,Male,'No relevent experience','Full time course','High School',STEM,3,98,0
city_67,0.855,Other,'No relevent experience',no_enrollment,Masters,Humanities,4,13,0
city_16,0.91,Male,'Has relevent experience',no_enrollment,Graduate,STEM,15,47,0
city_16,0.91,Female,'Has relevent experience',no_enrollment,Masters,Humanities,14,28,0
city_64,0.666,Male,'Has relevent experience',no_enrollment,Graduate,STEM,>20,22,0
city_13,0.827,Male,'Has relevent experience',no_enrollment,Graduate,STEM,2,29,0
city_67,0.855,Male,'Has relevent experience',no_enrollment,Masters,STEM,5,46,0
city_11,0.55,Male,'No relevent experience','Full time course',Graduate,STEM,<1,12,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,5,17,0
city_36,0.893,Male,'Has relevent experience',no_enrollment,Masters,STEM,5,65,0
city_103,0.92,Male,'No relevent experience',no_enrollment,Graduate,Humanities,3,35,0
city_67,0.855,Male,'No relevent experience','Full time course',Graduate,STEM,9,14,0
city_103,0.92,Female,'Has relevent experience',no_enrollment,Masters,STEM,2,4,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,15,12,0
city_160,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,>20,108,0
city_103,0.92,Male,'No relevent experience',no_enrollment,Graduate,STEM,>20,136,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,5,27,0
city_20,0.796,Male,'Has relevent experience','Part time course',Masters,STEM,4,74,0
city_71,0.884,Male,'Has relevent experience',no_enrollment,Graduate,STEM,15,86,0
city_57,0.866,Female,'No relevent experience','Part time course',Graduate,STEM,<1,83,0
city_103,0.92,Male,'No relevent experience','Full time course','High School',STEM,4,75,0
city_152,0.698,Male,'No relevent experience','Full time course',Masters,STEM,11,42,0
city_103,0.92,Female,'Has relevent experience',no_enrollment,Graduate,STEM,6,332,0
city_61,0.913,Male,'No relevent experience','Full time course',Graduate,STEM,4,140,0
city_16,0.91,Male,'No relevent experience',no_enrollment,'High School',STEM,3,182,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,10,48,0
city_65,0.802,Male,'Has relevent experience','Full time course',Graduate,STEM,9,33,0
city_160,0.92,Male,'No relevent experience','Full time course','High School',STEM,2,142,0
city_74,0.579,Male,'No relevent experience','Full time course',Graduate,STEM,2,34,0
city_173,0.878,Male,'No relevent experience',no_enrollment,Masters,STEM,>20,150,0
city_103,0.92,Female,'Has relevent experience',no_enrollment,Graduate,STEM,11,20,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,5,140,0
city_16,0.91,Male,'Has relevent experience',no_enrollment,Graduate,STEM,12,52,0
city_75,0.939,Male,'Has relevent experience',no_enrollment,Graduate,STEM,>20,160,0
city_136,0.897,Male,'Has relevent experience',no_enrollment,Masters,STEM,9,3,0
city_16,0.91,Male,'Has relevent experience',no_enrollment,Graduate,STEM,>20,28,0
city_73,0.754,Male,'Has relevent experience',no_enrollment,Graduate,Other,>20,46,0
city_67,0.855,Male,'Has relevent experience',no_enrollment,Graduate,STEM,8,210,0
city_114,0.926,Male,'Has relevent experience',no_enrollment,Graduate,STEM,10,36,0
city_21,0.624,Male,'Has relevent experience','Full time course',Graduate,STEM,2,101,0
city_114,0.926,Male,'Has relevent experience',no_enrollment,Masters,STEM,6,46,0
city_97,0.925,Male,'Has relevent experience',no_enrollment,Graduate,STEM,>20,19,0
city_90,0.698,Male,'Has relevent experience','Full time course',Graduate,STEM,7,90,0
city_50,0.896,Male,'Has relevent experience',no_enrollment,Graduate,STEM,9,59,0
city_160,0.92,Male,'Has relevent experience','Part time course',Graduate,'Business Degree',10,260,0
city_21,0.624,Female,'Has relevent experience',no_enrollment,Graduate,STEM,11,74,0
city_173,0.878,Male,'Has relevent experience',no_enrollment,Graduate,STEM,12,8,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,6,131,0
city_138,0.836,Male,'Has relevent experience','Full time course',Masters,STEM,7,45,0
city_82,0.693,Male,'Has relevent experience','Full time course',Graduate,STEM,11,109,0
city_67,0.855,Male,'Has relevent experience',no_enrollment,Graduate,Humanities,3,70,0
city_103,0.92,Female,'Has relevent experience',no_enrollment,Graduate,STEM,>20,17,0
city_103,0.92,Female,'No relevent experience',no_enrollment,Masters,STEM,15,51,0
city_36,0.893,Male,'No relevent experience',no_enrollment,Phd,STEM,>20,4,0
city_114,0.926,Male,'No relevent experience',no_enrollment,Graduate,STEM,12,7,0
city_102,0.804,Male,'Has relevent experience',no_enrollment,Masters,STEM,>20,164,0
city_64,0.666,Male,'Has relevent experience',no_enrollment,Graduate,STEM,20,290,0
city_102,0.804,Male,'No relevent experience',no_enrollment,'High School',STEM,2,145,0
city_103,0.92,Male,'No relevent experience',no_enrollment,Phd,STEM,>20,70,0
city_21,0.624,Male,'No relevent experience',no_enrollment,Graduate,STEM,3,24,0
city_11,0.55,Male,'No relevent experience','Full time course',Graduate,STEM,2,20,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,10,76,0
city_21,0.624,Female,'Has relevent experience',no_enrollment,Graduate,Other,8,34,0
city_160,0.92,Male,'No relevent experience',no_enrollment,Graduate,STEM,9,15,0
city_57,0.866,Male,'No relevent experience',no_enrollment,Graduate,STEM,>20,156,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,>20,15,0
city_114,0.926,Male,'Has relevent experience',no_enrollment,Masters,STEM,>20,120,0
city_157,0.769,Male,'Has relevent experience',no_enrollment,Graduate,'No Major',14,47,0
city_67,0.855,Male,'Has relevent experience','Part time course',Graduate,STEM,6,102,0
city_103,0.92,Male,'No relevent experience',no_enrollment,'High School',STEM,4,52,0
city_114,0.926,Male,'Has relevent experience',no_enrollment,'High School',STEM,9,39,0
city_103,0.92,Male,'No relevent experience',no_enrollment,Phd,STEM,>20,14,0
city_16,0.91,Male,'Has relevent experience',no_enrollment,Graduate,STEM,11,4,0
city_16,0.91,Male,'Has relevent experience',no_enrollment,Masters,Arts,>20,55,0
city_16,0.91,Male,'Has relevent experience',no_enrollment,Graduate,STEM,15,72,0
city_114,0.926,Male,'No relevent experience',no_enrollment,'High School',STEM,6,28,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,13,6,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,'No Major',17,125,0
city_75,0.939,Male,'Has relevent experience',no_enrollment,Graduate,STEM,>20,326,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,Other,>20,33,0
city_102,0.804,Male,'No relevent experience',no_enrollment,Masters,STEM,6,40,0
city_103,0.92,Female,'Has relevent experience',no_enrollment,Masters,STEM,15,55,0
city_150,0.698,Male,'No relevent experience',no_enrollment,Graduate,STEM,>20,32,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,Arts,>20,11,0
city_73,0.754,Male,'Has relevent experience',no_enrollment,Graduate,STEM,>20,41,0
city_67,0.855,Male,'Has relevent experience',no_enrollment,Masters,STEM,10,114,0
city_70,0.698,Male,'Has relevent experience',no_enrollment,Graduate,STEM,>20,33,0
city_90,0.698,Male,'Has relevent experience','Part time course',Masters,STEM,5,15,0
city_16,0.91,Male,'No relevent experience','Full time course','High School',STEM,3,8,0
city_173,0.878,Female,'Has relevent experience','Part time course','High School',STEM,2,22,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Masters,STEM,>20,13,0
city_98,0.949,Male,'Has relevent experience',no_enrollment,Graduate,STEM,>20,246,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Masters,STEM,9,22,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Masters,STEM,>20,81,0
city_175,0.776,Male,'Has relevent experience','Full time course',Graduate,STEM,4,11,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,>20,50,0
city_104,0.924,Male,'No relevent experience','Full time course','High School',STEM,6,15,0
city_28,0.939,Male,'Has relevent experience',no_enrollment,Masters,STEM,>20,31,0
city_114,0.926,Male,'Has relevent experience',no_enrollment,Masters,STEM,>20,84,0
city_136,0.897,Male,'Has relevent experience','Part time course',Graduate,STEM,4,42,0
city_103,0.92,Female,'Has relevent experience',no_enrollment,Graduate,STEM,>20,72,0
city_94,0.698,Male,'Has relevent experience',no_enrollment,Graduate,STEM,15,152,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,12,60,0
city_21,0.624,Male,'No relevent experience','Full time course',Masters,STEM,2,8,0
city_83,0.923,Male,'No relevent experience',no_enrollment,'High School',STEM,1,33,0
city_16,0.91,Male,'Has relevent experience',no_enrollment,Masters,STEM,4,38,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,Humanities,14,178,0
city_160,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,15,11,0
city_36,0.893,Male,'Has relevent experience',no_enrollment,'High School',STEM,>20,87,0
city_65,0.802,Male,'Has relevent experience',no_enrollment,Graduate,STEM,13,84,0
city_71,0.884,Male,'Has relevent experience',no_enrollment,Graduate,STEM,>20,32,0
city_21,0.624,Male,'No relevent experience',no_enrollment,Graduate,STEM,2,39,0
city_59,0.775,Male,'Has relevent experience',no_enrollment,Graduate,STEM,7,12,0
city_21,0.624,Male,'Has relevent experience','Full time course',Graduate,STEM,5,50,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Masters,Humanities,2,104,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Masters,Other,>20,8,0
city_21,0.624,Male,'No relevent experience','Full time course',Graduate,STEM,2,102,0
city_145,0.555,Male,'Has relevent experience',no_enrollment,Graduate,STEM,4,22,0
city_21,0.624,Male,'No relevent experience','Full time course',Graduate,STEM,3,42,0
city_160,0.92,Male,'No relevent experience',no_enrollment,'Primary School',STEM,4,50,0
city_21,0.624,Male,'Has relevent experience',no_enrollment,Masters,STEM,3,88,0
city_73,0.754,Male,'Has relevent experience',no_enrollment,Graduate,STEM,5,81,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Masters,STEM,>20,7,0
city_21,0.624,Male,'No relevent experience',no_enrollment,Graduate,STEM,3,218,0
city_16,0.91,Male,'Has relevent experience',no_enrollment,Graduate,STEM,>20,62,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,6,83,0
city_28,0.939,Male,'Has relevent experience',no_enrollment,Graduate,STEM,9,11,0
city_114,0.926,Male,'No relevent experience','Part time course',Phd,STEM,>20,10,0
city_28,0.939,Male,'Has relevent experience',no_enrollment,Masters,STEM,10,114,0
city_21,0.624,Male,'Has relevent experience',no_enrollment,Masters,STEM,3,36,0
city_102,0.804,Male,'No relevent experience',no_enrollment,Masters,STEM,6,17,0
city_160,0.92,Male,'Has relevent experience','Part time course',Graduate,STEM,>20,108,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,2,45,0
city_103,0.92,Male,'No relevent experience','Full time course',Graduate,STEM,5,77,0
city_114,0.926,Male,'Has relevent experience',no_enrollment,Masters,STEM,15,8,0
city_173,0.878,Male,'No relevent experience',no_enrollment,Graduate,STEM,5,28,0
city_142,0.727,Female,'Has relevent experience',no_enrollment,Graduate,STEM,9,37,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,13,162,0
city_73,0.754,Male,'Has relevent experience','Full time course','High School',STEM,9,41,0
city_165,0.903,Male,'Has relevent experience',no_enrollment,Masters,STEM,19,4,0
city_71,0.884,Female,'No relevent experience',no_enrollment,Phd,STEM,3,41,0
city_165,0.903,Male,'Has relevent experience',no_enrollment,Graduate,STEM,17,12,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,>20,190,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,6,11,0
city_103,0.92,Male,'No relevent experience','Full time course','High School',STEM,3,30,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Masters,STEM,13,39,0
city_102,0.804,Male,'Has relevent experience','Full time course','High School',STEM,9,16,0
city_114,0.926,Male,'No relevent experience',no_enrollment,Graduate,STEM,>20,5,0
city_26,0.698,Male,'No relevent experience','Full time course','High School',STEM,8,39,0
city_114,0.926,Male,'Has relevent experience',no_enrollment,Masters,STEM,10,29,0
city_21,0.624,Male,'Has relevent experience','Full time course',Masters,STEM,4,210,0
city_103,0.92,Other,'No relevent experience','Part time course','High School',STEM,6,54,0
city_160,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,9,44,0
city_16,0.91,Male,'Has relevent experience',no_enrollment,Graduate,STEM,15,47,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,>20,74,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,3,162,0
city_36,0.893,Male,'No relevent experience',no_enrollment,Graduate,'Business Degree',2,110,0
city_46,0.762,Other,'Has relevent experience','Part time course','High School',STEM,3,262,0
city_138,0.836,Male,'Has relevent experience',no_enrollment,Masters,STEM,14,6,0
city_136,0.897,Male,'Has relevent experience',no_enrollment,Masters,STEM,15,134,0
city_114,0.926,Male,'Has relevent experience',no_enrollment,Masters,STEM,11,40,0
city_71,0.884,Male,'Has relevent experience',no_enrollment,Graduate,STEM,12,11,0
city_160,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,11,102,0
city_21,0.624,Male,'No relevent experience','Full time course',Graduate,STEM,2,100,0
city_83,0.923,Male,'No relevent experience',no_enrollment,Masters,STEM,3,30,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,14,4,0
city_16,0.91,Male,'No relevent experience',no_enrollment,'Primary School',STEM,5,15,0
city_83,0.923,Male,'No relevent experience',no_enrollment,'Primary School',STEM,1,103,0
city_160,0.92,Male,'Has relevent experience','Part time course',Graduate,STEM,5,40,0
city_16,0.91,Male,'Has relevent experience',no_enrollment,Phd,STEM,>20,27,0
city_114,0.926,Male,'No relevent experience',no_enrollment,'High School',STEM,10,46,0
city_114,0.926,Male,'Has relevent experience',no_enrollment,'High School',STEM,7,110,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,13,96,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,5,57,0
city_160,0.92,Male,'Has relevent experience','Full time course',Graduate,STEM,6,240,0
city_98,0.949,Male,'Has relevent experience',no_enrollment,Graduate,STEM,4,42,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,5,94,0
city_37,0.794,Male,'No relevent experience',no_enrollment,Graduate,STEM,9,160,0
city_173,0.878,Male,'No relevent experience','Part time course',Graduate,STEM,10,25,0
city_43,0.516,Male,'Has relevent experience',no_enrollment,Graduate,STEM,9,11,0
city_173,0.878,Male,'Has relevent experience',no_enrollment,'High School',STEM,<1,29,0
city_90,0.698,Male,'Has relevent experience',no_enrollment,Graduate,STEM,8,23,0
city_142,0.727,Male,'Has relevent experience',no_enrollment,Graduate,STEM,10,113,0
city_73,0.754,Male,'Has relevent experience',no_enrollment,Graduate,STEM,15,56,0
city_103,0.92,Male,'No relevent experience',no_enrollment,Graduate,STEM,2,20,0
city_160,0.92,Male,'Has relevent experience','Full time course',Graduate,STEM,>20,40,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Masters,STEM,>20,56,0
city_145,0.555,Male,'No relevent experience','Full time course',Graduate,STEM,4,106,0
city_114,0.926,Male,'Has relevent experience','Part time course',Graduate,STEM,19,64,0
city_73,0.754,Male,'Has relevent experience',no_enrollment,Graduate,STEM,5,51,0
city_67,0.855,Female,'Has relevent experience','Full time course',Graduate,STEM,6,41,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,20,150,0
city_74,0.579,Male,'Has relevent experience',no_enrollment,Graduate,STEM,4,320,0
city_136,0.897,Male,'Has relevent experience',no_enrollment,Masters,STEM,7,20,0
city_102,0.804,Male,'Has relevent experience','Full time course',Graduate,STEM,9,74,0
city_67,0.855,Female,'Has relevent experience',no_enrollment,Masters,STEM,10,42,0
city_61,0.913,Male,'No relevent experience',no_enrollment,'High School',STEM,2,58,0
city_83,0.923,Male,'Has relevent experience',no_enrollment,Graduate,STEM,>20,166,0
city_61,0.913,Male,'Has relevent experience',no_enrollment,Graduate,STEM,2,110,0
city_103,0.92,Male,'Has relevent experience','Full time course',Graduate,STEM,>20,37,0
city_114,0.926,Male,'Has relevent experience',no_enrollment,Masters,STEM,>20,31,0
city_116,0.743,Male,'No relevent experience','Full time course',Masters,STEM,11,97,0
city_114,0.926,Male,'No relevent experience',no_enrollment,'Primary School',STEM,3,16,0
city_103,0.92,Male,'No relevent experience',no_enrollment,'Primary School',STEM,4,14,0
city_102,0.804,Male,'Has relevent experience',no_enrollment,Phd,STEM,>20,206,0
city_103,0.92,Female,'Has relevent experience',no_enrollment,Graduate,STEM,2,204,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Masters,STEM,18,116,0
city_102,0.804,Male,'Has relevent experience',no_enrollment,Masters,STEM,16,161,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,18,94,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,15,16,0
city_90,0.698,Male,'Has relevent experience','Full time course',Masters,STEM,15,100,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,20,107,0
city_157,0.769,Male,'Has relevent experience','Part time course',Masters,STEM,11,17,0
city_16,0.91,Male,'Has relevent experience',no_enrollment,Graduate,STEM,10,140,0
city_75,0.939,Male,'Has relevent experience',no_enrollment,Graduate,Humanities,3,75,0
city_75,0.939,Male,'Has relevent experience',no_enrollment,'High School',STEM,6,59,0
city_23,0.899,Male,'Has relevent experience',no_enrollment,'High School',STEM,6,146,0
city_93,0.865,Male,'No relevent experience',no_enrollment,Graduate,STEM,3,302,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,'No Major',14,131,0
city_94,0.698,Male,'Has relevent experience','Part time course','High School',STEM,9,74,0
city_16,0.91,Female,'Has relevent experience',no_enrollment,Graduate,STEM,7,22,0
city_61,0.913,Male,'Has relevent experience',no_enrollment,Masters,STEM,>20,143,0
city_67,0.855,Female,'Has relevent experience',no_enrollment,Graduate,STEM,14,72,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,'High School',STEM,11,7,0
city_136,0.897,Male,'No relevent experience','Full time course',Graduate,STEM,3,182,0
city_99,0.915,Male,'Has relevent experience',no_enrollment,Graduate,STEM,15,50,0
city_100,0.887,Male,'Has relevent experience',no_enrollment,'High School',STEM,2,82,0
city_16,0.91,Male,'Has relevent experience',no_enrollment,Graduate,STEM,2,58,0
city_104,0.924,Male,'Has relevent experience',no_enrollment,Graduate,STEM,9,94,0
city_65,0.802,Male,'Has relevent experience','Full time course',Masters,STEM,5,124,0
city_149,0.689,Male,'No relevent experience',no_enrollment,'Primary School',STEM,2,46,0
city_160,0.92,Female,'Has relevent experience',no_enrollment,Graduate,STEM,9,17,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,14,101,0
city_150,0.698,Male,'No relevent experience',no_enrollment,'Primary School',STEM,3,31,0
city_136,0.897,Male,'Has relevent experience',no_enrollment,Graduate,STEM,>20,36,0
city_36,0.893,Male,'Has relevent experience','Part time course',Graduate,STEM,15,198,0
city_16,0.91,Male,'No relevent experience',no_enrollment,Masters,STEM,5,31,0
city_11,0.55,Male,'Has relevent experience',no_enrollment,Masters,STEM,9,12,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,>20,31,0
city_103,0.92,Male,'Has relevent experience',no_enrollment,Graduate,STEM,6,55,0
city_16,0.91,Male,'Has relevent experience',no_enrollment,'High School',STEM,>20,38,0
city_23,0.899,Male,'Has relevent experience',no_enrollment,Graduate,Humanities,16,8,0
city_40,0.776,Male,'Has relevent experience','Part time course',Graduate,STEM,18,51,0
city_102,0.804,Male,'Has relevent experience','Full time course',Graduate,STEM,9,22,0
city_114,0.926,Male,'Has relevent experience','Full time course','High School',STEM,7,17,0
city_16,0.91,Male,'No relevent experience',no_enrollment,Graduate,STEM,3,24,0
city_23,0.899,Male,'Has relevent experience',no_enrollment,Graduate,STEM,5,19,0
city_16,0.91,Female,'Has relevent experience',no_enrollment,Graduate,STEM,13,15,0
city_36,0.893,Male,'Has relevent experience',no_enrollment,Graduate,STEM,>20,38,0
